,title,runtime,stars,directors,filming_location,aka,oscars_won,genres,budget,domestic_gross,worldwide_gross,mpaa_rating,release
59,Cinderella,52,"['Mary Pickford', 'Owen Moore', 'Isabel Vernon']",['James Kirkwood'],Not found,The Stepsister,0,"['Fantasy', 'Drama']",Not found,Not found,Not found,,28 December 1914 (USA)
60,Cinderella,74,"['Ilene Woods', 'James MacDonald', 'Eleanor Audley']","['Clyde Geronimi', 'Wilfred Jackson']","Château de Chambord, Chambord, Loir-et-Cher, France",Cinderella,3,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']","$2,900,000
            ","$93,141,149","$95,126,535",G,4 March 1950 (USA)
61,Cinderella,Not found,Not found,Not found,Not found,Cenicienta,0,Not found,Not found,Not found,Not found,,1963 (UK)
62,Cinderella,84,"['Ginger Rogers', 'Walter Pidgeon', 'Celeste Holm']",['Charles S. Dubin'],"Studio 41, CBS Television City - 7800 Beverly Boulevard, Fairfax, Los Angeles, California, USA",Rodgers &amp; Hammerstein's Cinderella,0,"['Family', 'Fantasy', 'Musical', 'Romance']",Not found,Not found,Not found,G,22 February 1965 (USA)
63,Cinderella,94,"['Cheryl Smith', 'Yana Nirvana', 'Marilyn Corwin']",['Michael Pataki'],Not found,Cinderella,0,"['Comedy', 'Musical']",Not found,Not found,Not found,R,May 1977 (USA)
64,Cinderella,88,"['Brandy Norwood', 'Bernadette Peters', 'Veanne Cox']",['Robert Iscove'],"Los Angeles, California, USA",Rodgers &amp; Hammerstein's Cinderella,0,"['Family', 'Fantasy', 'Musical', 'Romance']","$12,000,000
            ",Not found,Not found,G,2 November 1997 (USA)
65,Cinderella,90,"['Julie Andrews', 'Ilka Chase', 'Edie Adams']",['Ralph Nelson'],"CBS Studio 72, New York City, New York, USA",Rodgers and Hammerstein's Cinderella,3,"['Musical', 'Family', 'Comedy', 'Fantasy', 'Romance']",Not found,Not found,Not found,,31 March 1957 (USA)
66,Cinderella,95,"['Joan Warner', 'Christiane Delyne', 'Jeanne Fusier-Gir']",['Pierre Caron'],Not found,Cenicienta,0,"['actor: [', '{', '@type: Person', 'url: /name/nm0912503/', 'name: Joan Warner', '}', '{', '@type: Person', 'url: /name/nm0218011/', 'name: Christiane Delyne', '}', '{', '@type: Person', 'url: /name/nm0299353/', 'name: Jeanne Fusier-Gir', '}', '{', '@type: Person', 'url: /name/nm0214942/', 'name: Suzanne Dehelly', '}']",Not found,Not found,Not found,,1 July 1937 (France)
67,Cinderella,83,"['Sharon Maughan', 'Gideon Turner', 'David Warner']",['Beeban Kidron'],"Castletown, Isle of Man",Cinderella,0,"['Drama', 'Fantasy', 'Romance']",Not found,Not found,Not found,TV-PG,17 December 2001 (USA)
68,Cinderella,90,"['Frank Skinner', 'Samantha Womack', 'Siân Phillips']",['Liddy Oldroyd'],"Brixton, London, England, UK",Cenicienta,0,"['Comedy', 'Drama']",Not found,Not found,Not found,,2 January 2000 (UK)
69,Cinderella,102,"['Antoinette Sibley', 'Anthony Dowell', 'Frederick Ashton']",['John Vernon'],"London, England, UK",Not found,0,"['Fantasy', 'Music', 'Romance']",Not found,Not found,Not found,,25 December 1970 (UK)
70,Cinderella,Not found,['Vilma Santos'],Not found,Not found,Not found,0,"['Comedy', 'Drama', 'Fantasy']",Not found,Not found,Not found,,1974 (Philippines)
71,Cinderella,150,"['Vanessa Becerra', 'Jonas Hacker', 'Mary Dunleavy']",['Brad Dalton'],"San Jose, California, USA",Not found,0,"['actor: [', '{', '@type: Person', 'url: /name/nm10544341/', 'name: Vanessa Becerra', '}', '{', '@type: Person', 'url: /name/nm10544342/', 'name: Jonas Hacker', '}', '{', '@type: Person', 'url: /name/nm1237607/', 'name: Mary Dunleavy', '}', '{', '@type: Person', 'url: /name/nm3574106/', 'name: Nathan Stark', '}']",Not found,Not found,Not found,,2018 (USA)
72,Cinderella,Not found,"['Camila Cabello', 'Billy Porter', 'Nicholas Galitzine']",['Kay Cannon'],"Blackpool, England, UK",Cinderella,0,"['Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",Not found,Not found,Not found,,5 February 2021 (USA)
