,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_mpaa_rating_number,FILM_stars1,FILM_stars2,FILM_stars3,FILM_directors1,FILM_directors2,FILM_directors3
2408,11442,Ink,,,,,,,,,,,,,tt4563110,Ink,\N,Horror,5289106.9,11021080.0,87,24,2019-04-07,88.12500000000001,0.8512285714285713,294.7142857142857,637.0,,,,,,,
2409,11450,Ink,,,,,,,,,,,,,tt9579386,Ink,\N,Horror,5289106.9,11021080.0,87,24,2019-04-07,88.12500000000001,0.8512285714285713,294.7142857142857,637.0,,,,,,,
2410,11459,Sweat,,,,,,,,,,,,,tt12443946,Sweat,100,Drama,4881456.58,10521177.0,105,24,2017-03-05,70.17117647058825,0.8353352941176471,199.58823529411762,659.0,,,,,,,
2411,11463,Sweat,,,,,,,,,,,,,tt2058086,Sweat,81,Comedy,4881456.58,10521177.0,105,24,2017-03-05,70.17117647058825,0.8353352941176471,199.58823529411762,659.0,,,,,,,
2412,11477,American Buffalo,,,,,,,,,,,,,tt0115530,American Buffalo,88,Drama,739550.0,2437093.0,8,20,2008-11-02,50.83,0.521525,250.0,1018.0,,,,,,,
2413,11479,Breaking the Code,,,,,,,,,,,,,tt0115749,Breaking the Code,75,"Biography,Drama",4186299.0,0.0,169,9,1987-11-08,25.29695652173913,0.6990478260869566,,1324.2608695652175,,,,,,,
2414,11486,Getting Away with Murder,,,,,,,,,,,,,tt0116405,Getting Away with Murder,91,Comedy,1254380.0,0.0,17,29,1996-02-25,33.24166666666667,0.7244999999999999,55.0,1156.0,,,,,,,
2415,11499,Gray's Anatomy,,,,,,,,,,,,,tt0116447,Gray's Anatomy,80,"Comedy,Drama",459423.0,0.0,21,5,1993-11-07,18.50733333333333,0.9011933333333332,,1087.0,,,,,,,
2416,11502,I'm Not Rappaport,,,,,,,,,,,,,tt0116601,I'm Not Rappaport,135,"Comedy,Drama",15744363.0,3542723.0,944,15,1985-11-24,26.88098360655739,0.7870909836065577,76.25,784.0655737704918,,,,,,,
2417,11503,Jake's Women,,,,,,,,,,,,,tt0116680,Jake's Women,89,"Comedy,Drama",7675249.0,0.0,245,14,1992-03-15,30.13575757575757,0.7267696969696972,,1366.0,,,,,,,
2418,11505,Jerusalem,,,,,,,,,,,,,tt0116696,Jerusalem,168,Drama,8004618.0,18036580.0,141,21,2011-04-03,67.33,0.7360047619047618,225.0,997.9047619047619,,,,,,,
2419,11517,Jerusalem,,,,,,,,,,,,,tt2931404,Jerusalem,78,Sci-Fi,8004618.0,18036580.0,141,21,2011-04-03,67.33,0.7360047619047618,225.0,997.9047619047619,,,,,,,
2420,11540,Marvin's Room,,,,,,,,,,,,,tt0116999,Marvin's Room,98,Drama,2366003.76,7602879.0,68,23,2017-06-11,50.26,0.71195,,734.0,,,,,,,
2421,11546,The Present,,,,,,,,,,,,,tt0818791,The Present,96,Sci-Fi,10880986.77,13998143.0,81,22,2016-12-18,124.48285714285716,0.8262142857142856,293.85714285714283,1053.0,,,,,,,
2422,11561,The Present,,,,,,,,,,,,,tt1430832,The Present,75,Documentary,10880986.77,13998143.0,81,22,2016-12-18,124.48285714285716,0.8262142857142856,293.85714285714283,1053.0,,,,,,,
2423,11583,The Present,,,,,,,,,,,,,tt5067342,The Present,84,Drama,10880986.77,13998143.0,81,22,2016-12-18,124.48285714285716,0.8262142857142856,293.85714285714283,1053.0,,,,,,,
2424,11594,The Present,,,,,,,,,,,,,tt8120346,The Present,\N,Horror,10880986.77,13998143.0,81,22,2016-12-18,124.48285714285716,0.8262142857142856,293.85714285714283,1053.0,,,,,,,
2425,11595,The Present,,,,,,,,,,,,,tt8212224,The Present,\N,Horror,10880986.77,13998143.0,81,22,2016-12-18,124.48285714285716,0.8262142857142856,293.85714285714283,1053.0,,,,,,,
2426,11600,A Time to Kill,,,,,,,,,,,,,tt0117913,A Time to Kill,149,"Crime,Drama,Thriller",1720560.0,4987525.0,33,23,2013-09-29,56.20375,0.7423249999999999,223.0,802.0,,,,,,,
2427,11601,A Time to Kill,,,,,,,,,,,,,tt0289555,A Time to Kill,65,Drama,1720560.0,4987525.0,33,23,2013-09-29,56.20375,0.7423249999999999,223.0,802.0,,,,,,,
2428,11610,Buddy,,,,,,,,,,,,,tt0118787,Buddy,84,"Adventure,Comedy,Drama",7085959.0,0.0,225,15,1990-10-28,34.74033333333333,0.5876399999999999,,1463.0,,,,,,,
2429,11612,Buddy,,,,,,,,,,,,,tt0371589,Buddy,100,"Comedy,Drama,Romance",7085959.0,0.0,225,15,1990-10-28,34.74033333333333,0.5876399999999999,,1463.0,,,,,,,
