,Unnamed: 0,title,FILM_runtime,FILM_stars,FILM_directors,FILM_filming_locations,FILM_aka,FILM_oscars_won,FILM_genres,FILM_budget,FILM_domestic_gross,FILM_worldwide_gross,FILM_mpaa_rating,FILM_release_date,FILM_tconst,FILM_primaryTitle,FILM_runtimeMinutes,FILM_genres.1,BWAY_total_weekly_gross,BWAY_total_potential_gross,BWAY_total_performances,BWAY_total_previews,BWAY_last_performance,BWAY_avg_weekly_gross,BWAY_avg_ticket_price,BWAY_avg_capacity,BWAY_avg_top_ticket_price,BWAY_avg_seats_in_theatre,FILM_release_year,FILM_mpaa_rating_number
25232,25232,Catch Me If You Can,106.0,"['Matt Lattanzi', 'Loryn Locklin', 'Grant Heslov']",['Stephen Sommers'],"Minnesota, USA",Catch Me If You Can,0.0,"['Action', 'Comedy', 'Drama']",800000.0,3686.0,3686.0,2,14 October 1989,tt0310854,Catch Me If You Can,\N,Drama,16863570.0,32615900.0,166,32,2011-03-13,648598.8461538461,69.52000000000001,0.8614384615384615,200.0,1422.0,1989-01-01,2
25237,25237,Catch Me If You Can,141.0,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",['Steven Spielberg'],"2186 East Crary Street, Altadena, California, USA",Catch Me If You Can,2.0,"['Biography', 'Crime', 'Drama']",52000000.0,164615351.0,352114312.0,3,25 December 2002,tt0097029,Catch Me If You Can,106,"Action,Comedy,Drama",16863570.0,32615900.0,166,32,2011-03-13,648598.8461538461,69.52000000000001,0.8614384615384615,200.0,1422.0,2002-01-01,3
25238,25238,Catch Me If You Can,141.0,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",['Steven Spielberg'],"2186 East Crary Street, Altadena, California, USA",Catch Me If You Can,2.0,"['Biography', 'Crime', 'Drama']",52000000.0,164615351.0,352114312.0,3,25 December 2002,tt0175733,Catch Me If You Can,120,"Action,Comedy,Crime",16863570.0,32615900.0,166,32,2011-03-13,648598.8461538461,69.52000000000001,0.8614384615384615,200.0,1422.0,2002-01-01,3
25239,25239,Catch Me If You Can,141.0,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",['Steven Spielberg'],"2186 East Crary Street, Altadena, California, USA",Catch Me If You Can,2.0,"['Biography', 'Crime', 'Drama']",52000000.0,164615351.0,352114312.0,3,25 December 2002,tt0264464,Catch Me If You Can,141,"Biography,Crime,Drama",16863570.0,32615900.0,166,32,2011-03-13,648598.8461538461,69.52000000000001,0.8614384615384615,200.0,1422.0,2002-01-01,3
25240,25240,Catch Me If You Can,141.0,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",['Steven Spielberg'],"2186 East Crary Street, Altadena, California, USA",Catch Me If You Can,2.0,"['Biography', 'Crime', 'Drama']",52000000.0,164615351.0,352114312.0,3,25 December 2002,tt0310854,Catch Me If You Can,\N,Drama,16863570.0,32615900.0,166,32,2011-03-13,648598.8461538461,69.52000000000001,0.8614384615384615,200.0,1422.0,2002-01-01,3
25245,25245,Driving Miss Daisy,99.0,"['Morgan Freeman', 'Jessica Tandy', 'Dan Aykroyd']",['Bruce Beresford'],"Sevananda Natural Foods Grocery, 1111 Euclid Ave. NE, Atlanta, Georgia, USA",Driving Miss Daisy,0.0,"['contentRating: PG', 'actor: [', '{', '@type: Person', 'url: /name/nm0000151/', 'name: Morgan Freeman', '}', '{', '@type: Person', 'url: /name/nm0001788/', 'name: Jessica Tandy', '}', '{', '@type: Person', 'url: /name/nm0000101/', 'name: Dan Aykroyd', '}', '{', '@type: Person', 'url: /name/nm0526985/', 'name: Patti LuPone', '}']",7500000.0,106593296.0,145793296.0,2,26 January 1990,tt0097239,Driving Miss Daisy,99,Drama,13586627.0,18909125.0,180,20,2010-10-10,503208.4074074074,101.7374074074074,0.8188185185185188,300.0,804.0,1990-01-01,2
25246,25246,Driving Miss Daisy,99.0,"['Morgan Freeman', 'Jessica Tandy', 'Dan Aykroyd']",['Bruce Beresford'],"Sevananda Natural Foods Grocery, 1111 Euclid Ave. NE, Atlanta, Georgia, USA",Driving Miss Daisy,0.0,"['contentRating: PG', 'actor: [', '{', '@type: Person', 'url: /name/nm0000151/', 'name: Morgan Freeman', '}', '{', '@type: Person', 'url: /name/nm0001788/', 'name: Jessica Tandy', '}', '{', '@type: Person', 'url: /name/nm0000101/', 'name: Dan Aykroyd', '}', '{', '@type: Person', 'url: /name/nm0526985/', 'name: Patti LuPone', '}']",7500000.0,106593296.0,145793296.0,2,26 January 1990,tt4653310,Driving Miss Daisy,100,"Comedy,Drama",13586627.0,18909125.0,180,20,2010-10-10,503208.4074074074,101.7374074074074,0.8188185185185188,300.0,804.0,1990-01-01,2
25249,25249,Shirley Valentine,108.0,"['Pauline Collins', 'Tom Conti', 'Julia McKenzie']",['Lewis Gilbert'],"Waldegrave School for Girls, Fifth Cross Road, Twickenham, UK",Shirley Valentine,2.0,"['Comedy', 'Drama', 'Romance']",,6056912.0,6056912.0,4,30 August 1989,tt0098319,Shirley Valentine,108,"Comedy,Drama,Romance",3918566.0,0.0,324,8,1989-02-12,93299.19047619047,22.64119047619048,0.6579095238095239,,777.0,1989-01-01,4
25250,25250,Steel Magnolias,117.0,"['Shirley MacLaine', 'Olympia Dukakis', 'Sally Field']",['Herbert Ross'],"Louisiana, USA",Steel Magnolias,1.0,"['Comedy', 'Drama', 'Romance']",15000000.0,84614512.0,96759512.0,2,22 November 1989,tt0098384,Steel Magnolias,117,"Comedy,Drama,Romance",4139622.0,9692401.0,136,23,2005-03-20,206981.1,56.76100000000001,0.4976600000000001,86.1875,922.0,1989-01-01,2
25251,25251,Steel Magnolias,117.0,"['Shirley MacLaine', 'Olympia Dukakis', 'Sally Field']",['Herbert Ross'],"Louisiana, USA",Steel Magnolias,1.0,"['Comedy', 'Drama', 'Romance']",15000000.0,84614512.0,96759512.0,2,22 November 1989,tt2328749,Steel Magnolias,85,"Comedy,Drama,Romance",4139622.0,9692401.0,136,23,2005-03-20,206981.1,56.76100000000001,0.4976600000000001,86.1875,922.0,1989-01-01,2
25259,25259,Misery,107.0,"['James Caan', 'Kathy Bates', 'Richard Farnsworth']",['Rob Reiner'],"Truckee, California, USA",Misery,0.0,"['Drama', 'Thriller']",20000000.0,61276872.0,61276872.0,4,30 November 1990,tt0100157,Misery,107,"Drama,Thriller",11945565.28,18870178.0,95,27,2015-10-25,746597.8300000002,111.2325,0.75609375,297.0,1177.5,1990-01-01,4
25261,25261,Pretty Woman,119.0,"['Richard Gere', 'Julia Roberts', 'Jason Alexander']",['Garry Marshall'],"Giorgio Beverly Hills - 273 North Rodeo Drive, Beverly Hills, California, USA","$ 3,000",1.0,"['Comedy', 'Romance']",14000000.0,178406268.0,463407409.0,4,23 March 1990,tt0100405,Pretty Woman,119,"Comedy,Romance",51134568.8,76155432.0,420,27,2018-07-22,897097.6982456141,112.69175438596493,0.8626140350877193,275.0,1168.0,1990-01-01,4
25262,25262,Pretty Woman,119.0,"['Richard Gere', 'Julia Roberts', 'Jason Alexander']",['Garry Marshall'],"Giorgio Beverly Hills - 273 North Rodeo Drive, Beverly Hills, California, USA","$ 3,000",1.0,"['Comedy', 'Romance']",14000000.0,178406268.0,463407409.0,4,23 March 1990,tt0396817,Pretty Woman,111,"Comedy,Drama",51134568.8,76155432.0,420,27,2018-07-22,897097.6982456141,112.69175438596493,0.8626140350877193,275.0,1168.0,1990-01-01,4
25275,25275,Memphis,75.0,"['Willis Earl Beal', 'Constance Brantley', 'Larry Dodson']",['Tim Sutton'],"Memphis, Tennessee, USA",Μέμφις,0.0,"['contentRating: Unrated', 'actor: [', '{', '@type: Person', 'url: /name/nm5084656/', 'name: Willis Earl Beal', '}', '{', '@type: Person', 'url: /name/nm5842964/', 'name: Constance Brantley', '}', '{', '@type: Person', 'url: /name/nm3231529/', 'name: Larry Dodson', '}', '{', '@type: Person', 'url: /name/nm6643369/', 'name: Pauline Dyer', '}']",,21286.0,21286.0,0,17 January 2014,tt0102431,Memphis,100,Drama,104036273.0,182222697.0,1165,30,2009-09-27,693575.1533333333,75.21000000000002,0.7834873333333336,250.0,1468.293333333333,2014-01-01,0
25276,25276,Memphis,75.0,"['Willis Earl Beal', 'Constance Brantley', 'Larry Dodson']",['Tim Sutton'],"Memphis, Tennessee, USA",Μέμφις,0.0,"['contentRating: Unrated', 'actor: [', '{', '@type: Person', 'url: /name/nm5084656/', 'name: Willis Earl Beal', '}', '{', '@type: Person', 'url: /name/nm5842964/', 'name: Constance Brantley', '}', '{', '@type: Person', 'url: /name/nm3231529/', 'name: Larry Dodson', '}', '{', '@type: Person', 'url: /name/nm6643369/', 'name: Pauline Dyer', '}']",,21286.0,21286.0,0,17 January 2014,tt1817720,Memphis,\N,Drama,104036273.0,182222697.0,1165,30,2009-09-27,693575.1533333333,75.21000000000002,0.7834873333333336,250.0,1468.293333333333,2014-01-01,0
25277,25277,Memphis,75.0,"['Willis Earl Beal', 'Constance Brantley', 'Larry Dodson']",['Tim Sutton'],"Memphis, Tennessee, USA",Μέμφις,0.0,"['contentRating: Unrated', 'actor: [', '{', '@type: Person', 'url: /name/nm5084656/', 'name: Willis Earl Beal', '}', '{', '@type: Person', 'url: /name/nm5842964/', 'name: Constance Brantley', '}', '{', '@type: Person', 'url: /name/nm3231529/', 'name: Larry Dodson', '}', '{', '@type: Person', 'url: /name/nm6643369/', 'name: Pauline Dyer', '}']",,21286.0,21286.0,0,17 January 2014,tt2459172,Memphis,\N,Musical,104036273.0,182222697.0,1165,30,2009-09-27,693575.1533333333,75.21000000000002,0.7834873333333336,250.0,1468.293333333333,2014-01-01,0
25278,25278,Memphis,75.0,"['Willis Earl Beal', 'Constance Brantley', 'Larry Dodson']",['Tim Sutton'],"Memphis, Tennessee, USA",Μέμφις,0.0,"['contentRating: Unrated', 'actor: [', '{', '@type: Person', 'url: /name/nm5084656/', 'name: Willis Earl Beal', '}', '{', '@type: Person', 'url: /name/nm5842964/', 'name: Constance Brantley', '}', '{', '@type: Person', 'url: /name/nm3231529/', 'name: Larry Dodson', '}', '{', '@type: Person', 'url: /name/nm6643369/', 'name: Pauline Dyer', '}']",,21286.0,21286.0,0,17 January 2014,tt3092606,Memphis,75,Drama,104036273.0,182222697.0,1165,30,2009-09-27,693575.1533333333,75.21000000000002,0.7834873333333336,250.0,1468.293333333333,2014-01-01,0
